CO,NO2,O3,AQI,CO AQI,NO2 AQI,O3 AQI,PM2.5 AQI
0.0339588187634944,0.000317586120218,0.1202856600284576,38,8.0,37.0,27.0,38.0
0.0329524651169776,0.0002493849980192,0.1294418972637439,42,9.0,42.0,23.0,35.0
0.031455423682928,0.0002656984368639,0.120008115947641,30,9.0,30.0,21.0,30.0
0.0353188514709472,0.0002747770631685,0.1164732873439788,35,9.0,30.0,25.0,35.0
0.0353188514709472,0.0002747770631685,0.11749979108572,37,9.0,28.0,23.0,37.0
0.0344731161968343,0.000483192221386,0.11749979108572,63,15.0,35.0,13.0,63.0
0.0358610339462757,0.0003190609277226,0.1274055987596511,71,13.0,32.0,21.0,71.0
0.0335535667836666,0.0002203354088123,0.12443508207798,52,13.0,38.0,18.0,52.0
0.034108543165912,0.0003593160580803,0.1323804215526174,51,16.0,33.0,19.0,51.0
0.0386853702366352,0.0003693110484164,0.1231237724423408,61,17.0,28.0,21.0,61.0
0.0386853702366352,0.0002875746286008,0.1414819210767746,43,9.0,25.0,25.0,43.0
0.0386853702366352,0.0006651569274254,0.1114666983485221,54,7.0,24.0,19.0,54.0
0.0352283492684364,0.0003463985049165,0.1118831783533096,60,16.0,40.0,16.0,60.0
0.0379871390759944,0.0004248271288815,0.1146476753056049,55,17.0,34.0,17.0,55.0
0.0371342673897743,0.0006351359770633,0.1266194730997085,72,16.0,50.0,9.0,72.0
0.0371342673897743,0.0006214741966498,0.1280402849510182,93,15.0,42.0,13.0,93.0
0.0371342673897743,0.0005157238338142,0.1189280599355697,121,16.0,44.0,20.0,121.0
0.0426938198506832,0.0004138934600632,0.1201948001980781,120,13.0,35.0,24.0,120.0
0.0302237141877412,4.9744379793992266e-05,0.1497897952795028,33,5.0,9.0,33.0,24.0
0.0302237141877412,0.0003726413799843,0.1270704005293047,41,8.0,31.0,23.0,41.0
0.0392912775278091,0.0004694176604971,0.1368501037359237,36,9.0,30.0,29.0,36.0
0.031599473208189,0.0001939131034305,0.1433108448982238,35,7.0,35.0,32.0,24.0
0.0297587942332029,0.0002829833829309,0.1361589878797531,44,10.0,34.0,23.0,44.0
0.0375642776489257,0.0002845297858584,0.1302457600831985,55,13.0,33.0,23.0,55.0
0.0375642776489257,0.0001387839438393,0.1468349769711494,52,10.0,32.0,23.0,52.0
0.0327137693325291,7.011722844044869e-05,0.1589183861121388,67,9.0,32.0,28.0,67.0
0.0383184139879617,0.0003909549446116,0.1394892949400794,44,10.0,36.0,23.0,44.0
0.0356148295104503,0.0003304802519354,0.1220511745378335,44,11.0,38.0,21.0,44.0
0.0370327701326724,0.0004243791045155,0.1152847409248352,63,14.0,43.0,12.0,63.0
0.0328683331608772,0.0004243791045155,0.1253851056098938,32,5.0,27.0,32.0,32.0
0.0307694617658853,0.0004243791045155,0.1155556514859199,33,9.0,28.0,22.0,33.0
0.0307694617658853,0.0004243791045155,0.1172162791016174,57,11.0,39.0,20.0,57.0
0.0383432265371083,0.0003469382837594,0.124651758303394,55,11.0,27.0,19.0,55.0
0.0383432265371083,0.0003832668880932,0.1193456724286079,81,9.0,32.0,18.0,81.0
0.0299717169255018,0.0003832668880932,0.1401104032993316,35,8.0,28.0,25.0,35.0
0.0299717169255018,0.0003832668880932,0.1159819712804487,38,10.0,29.0,27.0,38.0
0.0316693410277366,0.0003832668880932,0.1293201744556427,28,5.0,22.0,28.0,25.0
0.0346734896302223,0.0003832668880932,0.1065467980736021,55,9.0,28.0,28.0,55.0
0.0323514863848686,0.0001894161687232,0.1056548282504081,39,10.0,29.0,28.0,39.0
0.0323514863848686,0.0001894161687232,0.1070394143462181,32,9.0,22.0,21.0,32.0
0.0329647585749626,4.011547746867303e-05,0.1448923945426941,36,5.0,9.0,36.0,20.0
0.0329647585749626,4.011547746867303e-05,0.1199189871549606,39,10.0,39.0,21.0,32.0
0.0329647585749626,0.0004156136419624,0.1160038858652114,38,11.0,34.0,21.0,38.0
0.0329647585749626,0.0004156136419624,0.1117606461048126,43,11.0,43.0,20.0,43.0
0.0371642634272575,0.0002324516599919,0.1220663215150131,41,13.0,41.0,20.0,36.0
0.0371642634272575,0.0002324516599919,0.1170943615644145,39,11.0,39.0,26.0,38.0
0.0371642634272575,0.0002324516599919,0.1119392961263656,41,11.0,40.0,33.0,41.0
0.0371642634272575,0.0002324516599919,0.1036086753010749,79,13.0,52.0,14.0,79.0
0.042030744254589,0.0002324516599919,0.1061308507038616,95,18.0,67.0,23.0,95.0
0.0336522907018661,0.0003843796439468,0.1163646517780543,72,8.0,31.0,24.0,72.0
0.0336522907018661,0.0003843796439468,0.1099081858992576,38,8.0,24.0,24.0,38.0
0.0321682170033454,0.0003843796439468,0.1190812587738037,29,3.0,17.0,29.0,23.0
0.0323855653405189,5.300745033309795e-05,0.1243507266044616,32,3.0,26.0,32.0,15.0
0.0361085309841454,0.0001078032977845,0.1351634730668233,32,3.0,27.0,32.0,14.0
0.0407997332513332,0.0003507163783069,0.135338008403778,42,7.0,35.0,27.0,42.0
0.0400423593819141,0.0004231654456816,0.1339157372713089,47,8.0,36.0,31.0,47.0
0.0355124659836292,0.0004231654456816,0.1382781550862438,35,8.0,28.0,34.0,35.0
0.0356543511152267,0.0004231654456816,0.1248193232134702,34,6.0,18.0,34.0,20.0
0.0415370855480431,0.0002565318354754,0.1310763955116271,36,8.0,36.0,30.0,28.0
0.0415370855480431,0.0002565318354754,0.1208714240566643,45,13.0,45.0,27.0,35.0
0.0312058888375759,0.0002565318354754,0.1177520304918289,30,8.0,22.0,30.0,29.0
0.0371089316904544,7.17528333925854e-05,0.1334421979010487,34,3.0,13.0,34.0,20.0
0.035450609066901,7.17528333925854e-05,0.1525415405631064,34,5.0,17.0,34.0,18.0
0.037626314908266,0.0002468867460265,0.1459607757411288,31,5.0,27.0,31.0,13.0
0.0365331880748271,0.000318322812453,0.1478589351720798,34,7.0,34.0,31.0,22.0
0.0337540507316589,0.000318322812453,0.1508946388718541,35,7.0,30.0,26.0,35.0
0.0318612977862358,9.022260883582952e-05,0.1777653931785687,33,7.0,33.0,31.0,28.0
0.0400239173322915,0.0002253493194902,0.1279366635173728,35,8.0,35.0,31.0,32.0
0.0393985509872436,0.0002872566692531,0.1273444294929504,37,7.0,34.0,37.0,35.0
0.0391214415431022,0.0002381759113632,0.1203457340598106,46,8.0,34.0,40.0,46.0
0.0400080531835556,0.0003788989852182,0.1194711998105049,55,9.0,34.0,32.0,55.0
0.0400080531835556,0.0003788989852182,0.1115043355723034,66,10.0,35.0,26.0,66.0
0.0374355800449847,0.0003788989852182,0.1023168936371802,55,6.0,23.0,30.0,55.0
0.0330634787678718,0.0003788989852182,0.1095046550035476,27,5.0,27.0,25.0,27.0
0.0335455760359764,0.0003788989852182,0.1072927266359329,29,2.0,13.0,29.0,21.0
0.0364957749843597,0.0003788989852182,0.1110907681286334,51,7.0,31.0,19.0,51.0
0.0376247651875019,0.0003788989852182,0.1323057264089584,28,5.0,24.0,22.0,28.0
0.0393022634088993,0.0003788989852182,0.1382230818271637,32,5.0,32.0,32.0,19.0
0.0371682434559698,5.6185861361529735e-05,0.1495387455453027,36,3.0,22.0,36.0,22.0
0.042159866541624,5.6185861361529735e-05,0.1331363390726432,34,5.0,25.0,34.0,30.0
0.0375896207988262,5.6185861361529735e-05,0.1753106862306594,35,7.0,25.0,35.0,35.0
0.0292886687678151,5.6185861361529735e-05,0.1620600074529647,33,7.0,26.0,31.0,33.0
0.0395636856555938,0.0001849282379301,0.1271099064842308,41,5.0,34.0,32.0,41.0
0.0392888449132442,0.0001605018187547,0.1247245967388153,43,6.0,34.0,37.0,43.0
0.0419499017298221,0.0002330343405114,0.1350421998535991,43,9.0,42.0,43.0,35.0
0.0418291017413139,0.000345613021972,0.1561223148930825,41,8.0,41.0,39.0,28.0
0.0418291017413139,0.0002024716231971,0.1454729884862899,45,9.0,42.0,45.0,34.0
0.038076364658016,0.0001242818689206,0.1315790712833404,46,9.0,32.0,46.0,38.0
0.0410443829964292,0.0004976933123543,0.120532214641571,56,7.0,34.0,47.0,56.0
0.0358037985861301,0.0004976933123543,0.1431678980588913,61,9.0,42.0,38.0,61.0
0.0380396544933319,0.0004976933123543,0.1561388721618682,33,6.0,30.0,33.0,30.0
0.0476566180586814,0.0002053695061476,0.1290196478366851,38,6.0,27.0,38.0,35.0
0.0474584102630615,0.0002053695061476,0.1276822686195373,43,6.0,25.0,32.0,43.0
0.0435983166098594,0.000123937788885,0.1341675668954849,52,6.0,18.0,44.0,52.0
0.051087412983179,0.0002570706401527,0.1331119923208691,56,7.0,42.0,42.0,56.0
0.051087412983179,0.0004826097181614,0.1435381321058634,55,9.0,38.0,38.0,55.0
0.0398678288221541,0.0001308052861831,0.1318047518988594,48,5.0,21.0,26.0,48.0
0.0429963068555873,7.88050820119679e-05,0.1342650949954986,35,6.0,26.0,35.0,29.0
0.043493420698549,0.0003233764728065,0.1290611624717712,47,7.0,31.0,34.0,47.0
0.043493420698549,0.0002258641470689,0.1290611624717712,50,7.0,29.0,50.0,41.0
0.0438227280974388,0.0001573586448629,0.1256323445794434,77,7.0,34.0,77.0,41.0
0.0438227280974388,0.0003452443634159,0.137797400355339,46,8.0,41.0,46.0,43.0
0.033326931297779,0.0003452443634159,0.1417254802444857,28,5.0,23.0,28.0,23.0
0.033326931297779,0.0002046087392955,0.1320968717336654,32,5.0,21.0,32.0,32.0
0.0422076859555156,0.0001843137433752,0.131336510181427,52,7.0,28.0,44.0,52.0
0.0428734794259071,0.000461946678115,0.1292773187160492,55,10.0,38.0,42.0,55.0
0.0389105106665821,0.000123839608452,0.1365185678005218,54,8.0,27.0,44.0,53.0
0.0416231871111338,4.905462265014648e-05,0.1365185678005218,45,2.0,8.0,45.0,17.0
0.0416231871111338,4.905462265014648e-05,0.17367634922266,50,7.0,38.0,31.0,50.0
0.045789785683155,0.0001302454184042,0.155916154384613,47,5.0,34.0,39.0,47.0
0.0467729084193706,0.0002304267953262,0.145968748732917,52,6.0,28.0,44.0,52.0
0.0467729084193706,0.0002178554714191,0.1477745175361633,54,8.0,25.0,48.0,54.0
0.0408902764320373,0.0003246945852879,0.1566280424594879,56,6.0,28.0,34.0,56.0
0.0408902764320373,0.000223334878683,0.1376086771488189,48,6.0,26.0,38.0,48.0
0.0402775758913796,0.0001467078584101,0.1363666658010738,58,8.0,33.0,50.0,58.0
0.0384225845336914,0.000135208329673,0.1341993383621276,68,7.0,38.0,40.0,68.0
0.0365136563777923,0.000135208329673,0.1480944901704788,43,3.0,19.0,43.0,35.0
0.036665242165327,0.0001425132140866,0.1605287853268321,56,6.0,26.0,34.0,56.0
0.0376835875213146,0.0002048340786423,0.1450377404689788,69,8.0,38.0,36.0,69.0
0.0376049705880487,0.0001524387617684,0.139039077366742,67,5.0,29.0,40.0,67.0
0.0365260764956474,0.0003969703102484,0.1377087384462356,71,5.0,26.0,38.0,71.0
0.0385439246892929,0.0002207940124208,0.1360265016555786,71,6.0,25.0,37.0,71.0
0.0342510193586349,0.0001487247500335,0.1348747535377238,68,3.0,12.0,38.0,68.0
0.0387408993094191,0.0001487247500335,0.1503002050343553,35,3.0,12.0,35.0,30.0
0.0413469485938549,0.0003834196832031,0.148793885789378,41,5.0,24.0,36.0,41.0
0.0413469485938549,0.0003834196832031,0.1442701357862145,59,7.0,27.0,36.0,59.0
0.0425502508878707,0.0001749272050801,0.1466448605060577,67,5.0,22.0,44.0,67.0
0.0385786477241126,0.000124383077491,0.1440019056406354,68,3.0,12.0,46.0,68.0
0.0342155061662197,0.0001016465030261,0.1467407047748565,56,2.0,8.0,42.0,56.0
0.0394941270351409,0.0001319265284109,0.1678710430860519,39,8.0,22.0,36.0,39.0
0.0384325665336851,8.545567834516987e-05,0.1542017459869384,45,5.0,18.0,41.0,45.0
0.035349290817976,8.545567834516987e-05,0.1447250545024871,50,3.0,17.0,36.0,50.0
